"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\win-10\Desktop\code\hashavhevet api\src\Helpers\generalUtils\Helper.js", "JavaScript", 239, 0, 21, 32, 292
"c:\Users\win-10\Desktop\code\hashavhevet api\src\Helpers\wizCloudUtiles\apiInterface\DocumentCreator.js", "JavaScript", 73, 0, 10, 11, 94
"c:\Users\win-10\Desktop\code\hashavhevet api\src\Helpers\wizCloudUtiles\apiInterface\castum_reports.js", "JavaScript", 31, 0, 11, 7, 49
"c:\Users\win-10\Desktop\code\hashavhevet api\src\Helpers\wizCloudUtiles\apiInterface\filencryption.json", "JSON", 0, 40, 0, 6, 46
"c:\Users\win-10\Desktop\code\hashavhevet api\src\Helpers\wizCloudUtiles\apiInterface\flexDoc.js", "JavaScript", 111, 0, 24, 22, 157
"c:\Users\win-10\Desktop\code\hashavhevet api\src\Helpers\wizCloudUtiles\apiInterface\lastItemsCall.json", "JSON", 0, 0, 0, 1, 1
"c:\Users\win-10\Desktop\code\hashavhevet api\src\Helpers\wizCloudUtiles\helpers\apiConfig.json", "JSON", 0, 24, 0, 5, 29
"c:\Users\win-10\Desktop\code\hashavhevet api\src\Helpers\wizCloudUtiles\helpers\calcKi.js", "JavaScript", 110, 0, 16, 12, 138
"c:\Users\win-10\Desktop\code\hashavhevet api\src\Helpers\wizCloudUtiles\helpers\getCred.js", "JavaScript", 44, 0, 4, 9, 57
"c:\Users\win-10\Desktop\code\hashavhevet api\src\Helpers\wizCloudUtiles\helpers\tablesorting.js", "JavaScript", 58, 0, 14, 10, 82
"c:\Users\win-10\Desktop\code\hashavhevet api\src\app.js", "JavaScript", 282, 0, 16, 25, 323
"c:\Users\win-10\Desktop\code\hashavhevet api\src\castumersInvoiceUrls.json", "JSON", 0, 159, 0, 0, 159
"c:\Users\win-10\Desktop\code\hashavhevet api\src\mockData.js", "JavaScript", 120, 0, 10, 11, 141
"c:\Users\win-10\Desktop\code\hashavhevet api\src\routs\dbRouts.js", "JavaScript", 139, 0, 84, 32, 255
"c:\Users\win-10\Desktop\code\hashavhevet api\src\routs\matrixDbJson.json", "JSON", 0, 13, 0, 0, 13
"Total", "-", 1207, 236, 210, 183, 1836
